major; description
Biomedical Engineering; Combines principles of engineering and medical sciences to improve healthcare.  
Chemical Engineering; Focuses on the design and operation of chemical processes and plants.  
Civil Engineering; Examines the design construction and maintenance of infrastructure projects.  
Computer Engineering; Combines electrical engineering and computer science principles.  
Electrical Engineering; Focuses on the study and application of electricity and electronics.  
Engineering Mechanics Physics and Science; Examines the principles of mechanics and their applications.  
Environmental Engineering; Studies the design of systems to protect and improve the environment.  
Geological and Geophysical Engineering; Focuses on the study of earth materials and processes.  
Industrial and Manufacturing Engineering; Examines the optimization of production processes and systems.  
Materials Engineering and Materials Science; Studies the properties and applications of materials.  
Mechanical Engineering; Focuses on the design and analysis of mechanical systems.  
Metallurgical Engineering; Examines the properties and processing of metals and alloys.  
Mining and Mineral Engineering; Studies the extraction and processing of minerals and resources.  
Naval Architecture and Marine Engineering; Focuses on the design and construction of ships and marine structures.  
Nuclear Engineering; Examines the principles and applications of nuclear energy and technology.  
Miscellaneous Engineering; Covers specialized topics in engineering not specifically categorized.  
Engineering Technologies; Focuses on applied engineering practices and technology.  
Engineering and Industrial Management; Examines the management of engineering projects and organizations.  
Electrical Engineering Technology; Studies the practical applications of electrical engineering principles.  
Industrial Production Technologies; Focuses on technologies used in industrial production processes.  
Mechanical Engineering Related Technologies; Examines technologies related to mechanical engineering applications.  
Miscellaneous Engineering Technologies; Covers specialized engineering technology topics not specifically categorized.  
Materials Science; Studies the properties and applications of materials in various fields.  
Nutrition Sciences; Focuses on the study of nutrition and its impact on health.  
General Medical and Health Services; Examines the principles of healthcare delivery and administration.  
Communication Disorders Sciences and Services; Studies the assessment and treatment of communication disorders.  
Health and Medical Administrative Services; Focuses on the management of healthcare organizations.  
Medical Assisting Services; Prepares students for administrative and clinical roles in healthcare.  
Medical Technologies Technicians; Focuses on the application of technology in medical settings.  
Health and Medical Preparatory Programs; Prepares students for further studies in health-related fields.  
Nursing; A comprehensive study of nursing principles and practices.  
Pharmacy Pharmaceutical Sciences and Administration; Examines the science and management of pharmaceuticals.  
Treatment Therapy Professions; Focuses on therapeutic practices for physical and mental health.  
Community and Public Health; Studies the promotion of health and prevention of disease in populations.  
Miscellaneous Health Medical Professions; Covers specialized topics in health professions not specifically categorized.  
Area Ethnic and Civilization Studies; Examines the cultures and histories of specific geographic areas.  
Linguistics and Comparative Language and Literature; Studies language structure and literary analysis across cultures.  
French German Latin and Other Common Foreign Language Studies; Focuses on the study of specific foreign languages and their cultures.  
Other Foreign Languages; Covers the study of less commonly taught foreign languages.  
English Language and Literature; Focuses on the study of English language literature and composition.  
Composition and Rhetoric; Examines the principles of writing and effective communication.  
Liberal Arts; A broad study that encompasses various disciplines in the humanities and sciences.  
Humanities; Explores human culture through literature philosophy and the arts.
Intercultural and International Studies; Studies global interactions and cultural exchanges.  
Philosophy and Religious Studies; Examines fundamental questions about existence ethics and belief systems.  
Theology and Religious Vocations; Focuses on the study of religious beliefs and practices.  
Anthropology and Archeology; Studies human societies past and present through cultural and material analysis.  
Art History and Criticism; Examines the history and interpretation of art across cultures.  
History; The study of past events and their impact on society.  
United States History; Focuses specifically on the history of the United States.  
Cosmetology Services and Culinary Arts; Prepares students for careers in beauty and culinary professions.  
Family and Consumer Sciences; Studies the management of home family and consumer issues.  
Military Technologies; Examines the technologies used in military applications and defense.  
Physical Fitness Parks Recreation and Leisure; Focuses on promoting health through physical activities and recreation.  
Construction Services; Studies the principles and practices of building construction.  
Electrical Mechanical and Precision Technologies and Production; Examines technologies used in electrical and mechanical production.  
Transportation Sciences and Technologies; Studies the systems and technologies involved in transportation.  
Multi/Interdisciplinary Studies; Combines knowledge from multiple fields to address complex issues.  
Court Reporting; Prepares students for careers in legal transcription and reporting.  
Pre-Law and Legal Studies; Examines the principles of law and prepares students for legal careers.  
Criminal Justice and Fire Protection; Studies the criminal justice system and emergency response practices.  
Public Administration; Focuses on the management of public sector organizations and policies.  
Public Policy; Examines the development and impact of government policies on society.  
Physical Sciences; A broad study of non-living systems including chemistry and physics.  
Astronomy and Astrophysics; Studies celestial bodies and the universe as a whole.  
Atmospheric Sciences and Meteorology; Examines the Earth's atmosphere and weather patterns.  
Chemistry; Focuses on the study of matter and its interactions.  
Geology and Earth Science; Studies the Earth’s structure composition and processes.  
Geosciences; Examines the Earth and its processes from a scientific perspective.  
Oceanography; Studies ocean systems and marine life.  
Physics; Focuses on the fundamental principles governing the universe.  
Multi-Disciplinary or General Science; Covers broad scientific principles across multiple disciplines.  
Nuclear Industrial Radiology and Biological Technologies; Examines technologies related to nuclear science and radiology.  
Psychology; The study of behavior and mental processes.  
Educational Psychology; Examines how psychological principles apply to educational settings.  
Clinical Psychology; Focuses on diagnosing and treating mental health disorders.  
Counseling Psychology; Studies therapeutic techniques for helping individuals with personal issues.  
Industrial and Organizational Psychology; Examines workplace behavior and organizational processes.  
Social Psychology; Studies how individuals are influenced by social interactions and environments.  
Miscellaneous Psychology; Covers specialized topics in psychology not specifically categorized.  
Human Services and Community Organization; Focuses on supporting individuals and communities in need.  
Social Work; Prepares students for careers in helping individuals and communities.  
Interdisciplinary Social Sciences; Combines principles from various social science disciplines.  
General Social Sciences; A broad study of social science principles and theories.  
Economics; The study of how societies allocate resources and make choices.  
Criminology; Examines the causes and consequences of criminal behavior.  
Geography; Studies the Earth's landscapes environments and the relationships between people and places.  
International Relations; Focuses on relationships between countries and global issues.  
Political Science and Government; Examines political systems political behavior and public policies.  
Sociology; The study of society social institutions and social relationships.  
Miscellaneous Social Sciences; Covers specialized topics in social sciences not specifically categorized.
